机型,生产国,数量
A-50预警机,"俄罗斯,以色列",3
DRDO AEW&CS,"巴西,印度",2
伊尔76运输机,俄罗斯,17
波音C-17环球霸王III,美国,11
C-130运输机,美国,5
安-32,乌克兰,105
伊尔78加油机,俄罗斯,6
