级别,舷号,舰名,类型,原舰别,原舰名及舷号,移交,退役,备注
SX-404级小型特攻潜艇,S-1,海蛟,自意大利购入,,,1969,1973,于台湾组装
SX-404级小型特攻潜艇,S-2,海龙,自意大利购入,,,1969,1973,于台湾组装
茄比级潜舰,"S-91
SS-791",海狮,美国军售舰,美国鲩鱼(Trench)级潜舰（英语：Tench-class submarine）,USS Cutlass (SS-478),1973,现役,
茄比级潜舰,"S-92
SS-792",海豹,美国军售舰,美国巴劳鱵(Balao)级潜艇,USS_Tusk_(SS-426)（英语：USS Tusk (SS-426)）,1973,现役,
剑龙级潜艇,SS-793,海龙,荷兰军售舰,,,1987,现役,剑龙级潜艇为荷兰旗鱼级潜艇（英语：Zwaardvis-class submarine）准同型舰
剑龙级潜艇,SS-794,海虎,荷兰军售舰,,,1988,现役,剑龙级潜艇为荷兰旗鱼级潜艇（英语：Zwaardvis-class submarine）准同型舰
自制防御潜舰,,,,,,,,
