武器名称,产地,型号,数量,备注
M998复仇者防空导弹,美国,短程地对空导弹,74套,以发射车形式服役于各集团军炮兵指挥部防空群，与PODARS结合运用
FIM-92刺针导弹,美国,短程地对空导弹,未知,由美国陆军重新整理后，1996年以8千万美元售予。。
"MIM-72,M48欉树导弹",美国,短程地对空导弹,45套,"于各集团军炮兵指挥部防空群配备，共646枚MIM-72F和302枚MIM-72E,G,J，预计将由天剑二陆射型防空导弹取代。"
M42防空炮车,美国,双管40mm机炮,未知,本岛已除役，少数维持可动状态，外岛仍服役
T-82 防空炮,中华民国,双管20mm机炮,未知,分为T-82T拖曳机动式以及T-82F固定式双联装防空炮，少数服役于固定阵地。
