级别,舷号,舰名,类型,原舰别,原舰名及舷号,移交,退役,备注
济阳级巡防舰,FFG-934,汾阳,美国租售舰,美国诺克斯级巡防舰,USS Kirk (FF-1087)（英语：USS Kirk (FF-1087)）,1993,,
济阳级巡防舰,FFG-935,兰阳,美国租售舰,美国诺克斯级巡防舰,USS Joseph Hewes (FF-1078)（英语：USS Joseph Hewes (FF-1078)）,1995,,
济阳级巡防舰,FFG-936,海阳,美国租售舰,美国诺克斯级巡防舰,USS Cook (FF-1083)（英语：USS Cook (FF-1083)）,1995,2015,于2020年7月1日作为靶舰被海军使用反舰导弹射击级击沉。
济阳级巡防舰,FFG-937,淮阳,美国租售舰,美国诺克斯级巡防舰,USS Barbey (FF-1088)（英语：USS Barbey (FF-1088)）,1995,,
济阳级巡防舰,FFG-938,宁阳,美国租售舰,美国诺克斯级巡防舰,USS Aylwin (FF-1081)（英语：USS Aylwin (FF-1081)）,1999,,
济阳级巡防舰,FFG-939,宜阳,美国租售舰,美国诺克斯级巡防舰,USS Valdez (FF-1096)（英语：USS Valdez (FF-1096)）,1999,,
康定级巡防舰,PFG-1202,康定,法国军售舰,法国拉法叶级巡防舰,,1996,,康定级巡防舰为法国拉法叶级巡防舰准同型舰
康定级巡防舰,PFG-1203,西宁,法国军售舰,法国拉法叶级巡防舰,,1996,,
康定级巡防舰,PFG-1205,昆明,法国军售舰,法国拉法叶级巡防舰,,1997,,
康定级巡防舰,PFG-1206,迪化,法国军售舰,法国拉法叶级巡防舰,,1997,,
康定级巡防舰,PFG-1207,武昌,法国军售舰,法国拉法叶级巡防舰,,1997,,
康定级巡防舰,PFG-1208,承德,法国军售舰,法国拉法叶级巡防舰,,1998,,
成功级巡防舰,PFG-1101,成功,美国授权国造舰,美国派里级巡防舰,,1993,,成功级巡防舰为美国派里级巡防舰授权中华民国制造的准同型舰
成功级巡防舰,PFG-1103,郑和,美国授权国造舰,美国派里级巡防舰,,1994,,
成功级巡防舰,PFG-1105,继光,美国授权国造舰,美国派里级巡防舰,,1995,,
成功级巡防舰,PFG-1106,岳飞,美国授权国造舰,美国派里级巡防舰,,1996,,
成功级巡防舰,PFG-1107,子仪,美国授权国造舰,美国派里级巡防舰,,1997,,
成功级巡防舰,PFG-1108,班超,美国授权国造舰,美国派里级巡防舰,,1997,,
成功级巡防舰,PFG-1109,张骞,美国授权国造舰,美国派里级巡防舰,,1998,,
成功级巡防舰,PFG-1110,田单,美国授权国造舰,美国派里级巡防舰,,2004,,
成功级巡防舰,PFG-1112,铭传,美国军售舰,美国派里级巡防舰,USS Taylor (FFG-50)（英语：USS Taylor (FFG-50)）,2017,,2018年11月8日服役。
成功级巡防舰,PFG-1115,逢甲,美国军售舰,美国派里级巡防舰,USS Gary (FFG-51)（英语：USS Gary (FFG-51)）,2017,,2018年11月8日服役。
新一代导弹巡防舰（震海计划）
